"id_doc","type","name","place","date","link"
851,"Interview","Marcel Duchamp interview with Katharine Kuh","Duchamp Archives","1961/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B013_F049_002"
852,"Photography","Marcel Duchamp et Mimi Fogt","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits3_no.231"
853,"Photography","Marcel Duchamp, Alexina Duchamp, et Martial Raysse (Galerie Givaudan)","Duchamp Archives","1967/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDBoiteMoyenne2_no.067"
854,"Photography","Marcel Duchamp, Francis Picabia, and Beatrice Wood in Coney Island, New York","Duchamp Archives","1917/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B030_F021_13-1972-9-002"
855,"Photography","Marcel Duchamp, Irina and Lizica Codreanu, and Constantin Brancusi in Brancusi's studio","Duchamp Archives","1924/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B017_F001_048"
856,"Photography","Marcel Duchamp, Jean Arp et Engel","Duchamp Archives","1941/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits2_no.054"
857,"Photography","Marcel Duchamp with Jacques Doucet and Francis Picabia in Paris","Duchamp Archives","1925/-/-","https://www.duchamparchives.org/pma/archive/component/MDE_B017_F001_047"
858,"Photography","Marcel Duchamp, Suzanne Duchamp, Michel Corlin, Germaine Everling, Lorenzo Picabia, Francis Picabia, et Jean Crotti","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits1_no.040"
859,"Photography","Marcel Duchamp, Alexina Duchamp, and Max Ernst at a café in Paris, France","Duchamp Archives","1967/May/19","https://www.duchamparchives.org/pma/archive/component/MDP_B031_F008_13-1972-9-069"
860,"Photography","Marcel Duchamp with Jan Hein Donner, chess grandmaster","Duchamp Archives","1966/-/-","https://www.duchamparchives.org/pma/archive/component/MDP_B034_F007_13-1972-9-042"
861,"Photography","Jean Crotti, Gaby Villon, Jacques Villon, Suzanne Duchamp, les de Zayas dans un jardin","Duchamp Archives","1920/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_AlbumSD1_no.093"
862,"Photography","Juliet Man Ray, Marcel Duchamp, Alexina Duchamp, Man Ray, et deux autres personnes non identifiées","Duchamp Archives","-/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDPortraits4_no.298"
863,"Photography","Marcel Duchamp et Claude Givaudan","Duchamp Archives","1967/-/-","https://www.duchamparchives.org/amd/archive/component/Photo_MDGrandeBoite_no.035"
